class,0,1,2,3,4,5,6,7,8,9,10
Violin,0.01613345788144467,0.017658477934609434,0.01553457225786188,0.017197479275821312,0.6055113844123844,0.12849039222828462,1.0,0.16540830804548717,0.07172017094588165,0.0030259232671001487,0.0009013055292702518
Violin,0.015396262981217821,0.02651645955263758,0.03989060168179336,0.014144037182419836,0.9999999999999998,0.10395065002617905,0.7501799758238191,0.2090442409100723,0.03742480281148018,0.003282062026333247,0.0007088652616564573
Violin,0.04198034109554474,0.04795131875875501,0.06334922498325163,0.03245362670630769,0.519407937547718,0.18926510616670655,1.0,0.37462562010468325,0.07695160843478012,0.003247711822304358,0.0013920358379084583
Violin,0.01952213531559107,0.024216768591810513,0.03377466715368549,0.00985718935565726,0.9999999999999998,0.07069738660440375,0.8866370818035875,0.4389040010214744,0.12939154487647253,0.007185572860459404,0.0006895259014820049
Violin,0.013378216449637628,0.02158726418280974,0.01756518394476442,0.021099031027086206,0.6859864489055079,0.1351551563861332,1.0,0.3658530626269116,0.13212179379199251,0.003055921540684484,0.0009345269874816201
Violin,0.026353573784127397,0.010736166198057598,0.031403060150490075,0.017785931343631295,0.682170383099135,0.0922324915796942,1.0,0.21064701373763667,0.0651172885256195,0.004662080531845705,0.0006028456010255013
Violin,0.052655867363331776,0.019323261496829648,0.017042892327014413,0.014178573810055795,0.5735440677619954,0.11306709926602912,0.9999999999999996,0.14961068642448133,0.08552364752014911,0.003684305325245152,0.0008176551239703144
Violin,0.0133248657612353,0.016154520608645705,0.012356293501678446,0.01336914098048671,0.5939854717906341,0.125026983664707,1.0,0.13167017159083094,0.08329249203640209,0.0034959195271342626,0.0008012346784994826
Violin,0.012390442970985238,0.021089924257111765,0.045219343024785495,0.01753629153788173,1.0,0.6676859197461477,0.1332816526930988,0.14574520005125322,0.020713924722688255,0.0011922140846521766,0.0005287741410113205
Violin,0.016302861552022933,0.04382661322547202,0.03481065683089664,0.01455576572647785,0.9999999999999998,0.6095954289561591,0.2398039496835642,0.23303238908340282,0.07600493392205158,0.002864327331223117,0.0008076208317954779
Violin,0.051218338228726165,0.026512851884833506,0.0495416496992537,0.028213585155924616,0.9854776283870548,1.0,0.29554374377914694,0.2155685978706143,0.12472747047116424,0.002694688388894401,0.001111455553397186
Violin,0.027984793008487455,0.03639260217734735,0.030811979115759242,0.0180080193854833,0.9999999999999993,0.7292668522222792,0.5412463483420605,0.18068728502693093,0.1630576700894546,0.004526779511393365,0.0011238564530370245
Violin,0.014758178303818505,0.023635594330504515,0.029947616785167015,0.015850877680885823,0.9999999999999998,0.6736188166133449,0.5187561518599006,0.26910885742821566,0.17884468512600116,0.0031248085449765294,0.0007110294791843381
Violin,0.02122564617872733,0.022414835731531763,0.02549184008488056,0.013265561322702171,0.8878624824185762,1.0,0.3729181305071289,0.240111384109374,0.09925657910950952,0.003983753545600018,0.00046205478429677785
Violin,0.028311964829200034,0.03482322661865502,0.04224400653573263,0.01872489988880499,0.425040937921728,0.9999999999999999,0.3318401358822264,0.46856259426008445,0.2603848118727773,0.00295375359299285,0.0008007695543727804
Violin,0.03830498115331012,0.029466926624432562,0.04400256003168161,0.01896049494767292,1.0,0.6705436820262592,0.1303253707982804,0.19788590799253197,0.027604115074794433,0.001992584968584855,0.000571935381378423
Violin,0.02031395756350266,0.03951628268488867,0.03610221036073366,0.013479672554664764,1.0,0.6621306041941496,0.262397445546145,0.19741058558879626,0.10114762279052808,0.002951356681890247,0.0007571172295422243
Violin,0.02437770550959877,0.030819317727778052,0.04935401324199586,0.01807153923999564,0.9999999999999997,0.8450682349970848,0.42458605842300534,0.1951195729821288,0.14514370405765292,0.0027485366544559606,0.0012015167702055473
Violin,0.032838094578374576,0.032242563408359924,0.01876294820237942,0.022023412537599485,0.9999999999999999,0.6743930180427663,0.5273500958957765,0.21234756565928206,0.17367609626252323,0.004968354142081333,0.0010199246101718553
Violin,0.019367956662728555,0.018216451375939156,0.04832655669760116,0.024117437577186308,1.0,0.7500695988638215,0.5291959153713571,0.28303808926866475,0.15040947082740022,0.0029687309552227648,0.0006350622359223743
Violin,0.025620746170465763,0.020533261703389018,0.02012363377400701,0.012540320715672295,0.6277542820244598,1.0,0.3290086390584255,0.27754055981257647,0.10494670716712122,0.0028283276239476187,0.0005585210872114315
Violin,0.025594491869462502,0.024368724844459944,0.04515259624883877,0.013112722632260954,0.414483654763506,0.9999999999999999,0.3503471756168199,0.463087520386172,0.2623031306682335,0.003996462531543996,0.0011717905071881134
Violin,0.041021594141523406,0.0445246196169502,0.031308103951537686,0.02836381941300171,0.9999999999999999,0.5367479174323848,0.2021397277132531,0.23935176805546352,0.038163212959718244,0.0027505505684891915,0.0005364821057318156
Violin,0.01560843151542274,0.03843635810834495,0.04490950415680568,0.017197110483506455,1.0,0.8211779911309564,0.29117280072203144,0.2550686960335755,0.1132547631143519,0.0025387284830256525,0.0008767089039524459
Violin,0.024878192255510703,0.032900716145427715,0.04341838510237615,0.01838524781119172,0.9999999999999996,0.7849163909947019,0.4944624678734275,0.16067803585526613,0.16331636495952148,0.004152637608678938,0.0003970522438182595
Violin,0.03986751791144198,0.046264506095565205,0.034951394247395705,0.03138819254096722,0.9999999999999999,0.6674226011970712,0.5249959312442221,0.24162090277591097,0.19368027962520434,0.002872641822327784,0.0005615323513178628
Violin,0.029130681244398996,0.03659049809847587,0.025441178356803238,0.032756923967872206,1.0,0.9088167241277263,0.5236162987444797,0.31161468297903233,0.12235109342187689,0.003256788108165319,0.000502857429036306
Violin,0.008300779409137406,0.02610283219235637,0.019959168301128965,0.011556873089488542,0.4827432331165315,0.9999999999999999,0.30669164368223784,0.34908913213201015,0.1540219511458678,0.0031050908357523194,0.0005048824712467881
Violin,0.031206882845779233,0.028855312953517235,0.03435028966981243,0.012022326947416263,0.3635369196517464,0.9999999999999999,0.3013542483844347,0.4210103451768411,0.23601631050257904,0.0032314441149476378,0.0008257771106655381
Violin,0.025123674019953825,0.04717651559269447,0.02690276447355365,0.027338166735800463,1.0,0.5984107793600862,0.23913068857387876,0.25697776847037906,0.06452512187645745,0.002849067940942898,0.0007232892374982061
Violin,0.03602662066188909,0.03445302924072179,0.06441356378527663,0.024032527222107577,0.9719418922645361,1.0,0.27866162200021666,0.21671739660134157,0.13486864597272957,0.003111202400612698,0.001018592672311569
